MAKHACHHANG,PHUONGXA,QUANHUYEN,LOAIDICHVU,LOAIKHACHHANG,SODICHVU,SOLANBAOHONG,SOLANGOIKIEMBAOHONG,SOLANBAOHONGHAILONG,SOLANBAOHONGKHONGHAILONG,KHAOSATLAPMOI,KHAOSATLAPMOIHAILONG,KHAOSATLAPMOIKHONGHAILONG,SOLANCHAMSOC,SOLANTAMNGUNG,SOTHANGSUDUNGDICHVU,GIADICHVU,KHONGPHATSINHLUULUONG,HINHTHUCTHANHTOAN,DIEMTINNHIEM,THANHLY
658108,TT Thới Lai,TLI,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,0,0,70,0
658479,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,1,1,72,0
655480,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,1,0,1,2,0,5,50000,2,0,66,0
660684,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,2,0,4,50000,2,1,72,0
653594,Xã Thới Tân,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,1,0,61,0
588406,Xã Thạnh Lộc,VTA,MyTV,0,2,0,0,0,0,1,0,1,2,0,6,50000,0,1,72,0
653590,Phường Long Tuyền,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,7,0,72,0
659689,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,2,0,4,50000,0,0,72,0
587855,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,7,50000,0,0,72,0
658684,Xã Nhơn ái,PDN,MyTV,0,4,0,0,0,0,0,0,0,1,0,5,50000,0,0,72,0
658648,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72,0
588559,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,4,0,6,50000,0,0,72,0
604909,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,72,0
622064,Phường Thới An,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,70,0
588465,Phường Xuân Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,5,1,72,0
657091,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,0,0,64,0
657136,Phường Phú Thứ,CRG,MyTV,0,3,1,1,0,1,1,0,1,1,0,5,50000,1,1,72,0
660993,Phường An Bình,NKU,MyTV,0,2,1,1,0,1,1,0,1,0,0,4,81818,3,0,60,0
660702,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72,0
660897,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,1,1,70,0
616314,Thị Trấn Phong Điền,PDN,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,70,0
654674,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,0,0,72,0
587586,Phường Trà Nóc,BTY,MyTV,0,3,0,0,0,0,0,0,0,4,0,7,50000,0,0,64,0
587763,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,3,0,53,0
660738,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,1,0,1,2,0,4,50000,1,1,70,0
589972,Xã Trường Long,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72,0
589723,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,57000,0,0,72,0
585037,Phường An Bình,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,81818,1,1,40,0
585270,Phường An Thới,BTY,Fiber,0,2,0,0,0,0,0,0,0,0,0,7,163636,0,0,72,0
589567,Xã Xuân Thắng,TLI,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72,0
585445,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,5,0,7,50000,9,0,64,0
587995,Phường Thuận Hưng,TNT,MyTV,0,2,0,0,0,0,0,0,0,2,0,7,81818,10,0,66,0
588063,Phường Ba Láng,CRG,MyTV,0,6,0,0,0,0,0,0,0,3,0,7,36363,11,0,70,0
663396,Phường Trà An,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72,0
666779,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,3,50000,0,0,72,0
662424,Xã Trung An,CDO,MyTV,0,2,0,0,0,0,1,0,1,0,0,4,50000,0,0,72,0
672762,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,68182,0,0,72,0
673973,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,0,0,0,1,0,1,50000,0,0,72,0
662793,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72,0
666423,Phường Thới An Đông,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,50000,0,0,70,0
666771,Phường Phước Thới,OMN,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,68182,3,0,72,0
664580,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,64,0
666721,Phường Hưng Phú,CRG,Fiber,0,7,0,0,0,0,1,0,1,0,0,3,150000,0,0,72,0
664265,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,3,0,72,0
666787,Phường Ba Láng,CRG,MyTV,0,3,0,0,0,0,0,0,0,0,0,3,68182,2,0,72,0
662342,Xã Thạnh Lợi,VTA,Fiber,0,3,0,0,0,0,0,0,0,1,0,4,154545,0,0,72,0
665156,Phường Châu Văn Liêm,OMN,Fiber,0,2,0,0,0,0,1,0,1,0,0,3,177272,0,0,70,0
667809,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,2,50000,0,1,72,0
663094,Xã Thới Tân,TLI,MyTV,0,3,0,0,0,0,0,0,0,4,0,4,50000,5,0,72,0
663373,Phường Long Hưng,OMN,MyTV,0,2,0,0,0,0,0,0,0,1,0,4,50000,0,0,72,0
665414,Phường Trà Nóc,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,3,50000,0,0,70,0
672006,Xã Trường Xuân A,TLI,MyTV,0,3,0,0,0,0,1,0,1,0,0,1,68182,0,0,58,0
663112,Phường Thới Thuận,TNT,MyTV,0,3,0,0,0,0,1,0,1,1,0,4,50000,1,0,72,0
662905,Phường Hưng Thạnh,CRG,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,0,0,96,0
664960,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,3,0,3,81818,0,0,72,0
674331,Phường Tân An,NKU,MyTV,0,4,0,0,0,0,0,0,0,0,0,0,36363,0,1,72,0
664735,Phường Thới An Đông,BTY,MyTV,0,3,0,0,0,0,1,0,1,1,0,3,68182,0,1,72,0
672663,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,1,50000,0,0,72,0
667497,Phường Cái Khế,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,3,50000,0,0,72,0
665594,Phường An Thới,BTY,MyTV,0,2,0,0,0,0,1,0,1,3,0,3,50000,1,0,70,0
668269,Phường Tân An,NKU,MyTV,0,3,0,0,0,0,1,0,1,1,0,2,50000,0,1,72,0
673419,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,0,0,0,2,0,1,50000,0,1,58,0
672749,Xã Giai Xuân,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,1,50000,0,0,72,0
671386,Phường Long Tuyền,BTY,MyTV,0,2,0,0,0,0,1,0,1,0,0,1,50000,0,1,72,0
