MAKHACHHANG,PHUONGXA,QUANHUYEN,LOAIDICHVU,LOAIKHACHHANG,SODICHVU,SOLANBAOHONG,SOLANGOIKIEMBAOHONG,SOLANBAOHONGHAILONG,SOLANBAOHONGKHONGHAILONG,KHAOSATLAPMOI,KHAOSATLAPMOIHAILONG,KHAOSATLAPMOIKHONGHAILONG,SOLANCHAMSOC,SOLANTAMNGUNG,SOTHANGSUDUNGDICHVU,GIADICHVU,KHONGPHATSINHLUULUONG,HINHTHUCTHANHTOAN,DIEMTINNHIEM
658108,TT Thới Lai,TLI,MyTV,0,3,0,0,0,0,1,0,1,1,0,5,50000,0,0,70
658479,Phường Hưng Phú,CRG,MyTV,0,3,0,0,0,0,1,0,1,0,0,5,50000,1,1,72
655480,Phường Châu Văn Liêm,OMN,MyTV,0,2,0,0,0,0,1,0,1,2,0,5,50000,2,0,66
660684,Phường Bình Thuỷ,BTY,MyTV,0,2,0,0,0,0,1,0,1,2,0,4,50000,2,1,72
653594,Xã Thới Tân,TLI,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,1,0,61
588406,Xã Thạnh Lộc,VTA,MyTV,0,2,0,0,0,0,1,0,1,2,0,6,50000,0,1,72
653590,Phường Long Tuyền,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,7,0,72
659689,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,2,0,4,50000,0,0,72
587855,Phường Long Hoà,BTY,MyTV,0,2,0,0,0,0,0,0,0,1,0,7,50000,0,0,72
658684,Xã Nhơn ái,PDN,MyTV,0,4,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
658648,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,0,0,0,0,0,5,50000,0,0,72
588559,TT Thới Lai,TLI,MyTV,0,2,0,0,0,0,0,0,0,4,0,6,50000,0,0,72
604909,Phường An Thới,BTY,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,72
622064,Phường Thới An,OMN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,81818,0,0,70
588465,Phường Xuân Khánh,NKU,MyTV,0,2,0,0,0,0,0,0,0,2,0,6,81818,5,1,72
657091,Phường Tân Hưng,TNT,MyTV,0,2,0,0,0,0,1,0,1,1,0,5,50000,0,0,64
657136,Phường Phú Thứ,CRG,MyTV,0,3,1,1,0,1,1,0,1,1,0,5,50000,1,1,72
660993,Phường An Bình,NKU,MyTV,0,2,1,1,0,1,1,0,1,0,0,4,81818,3,0,60
660702,Xã Thới Hưng,CDO,MyTV,0,2,0,0,0,0,1,0,1,1,0,4,50000,0,0,72
660897,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,0,0,0,0,0,4,50000,1,1,70
616314,Thị Trấn Phong Điền,PDN,MyTV,0,3,0,0,0,0,0,0,0,0,0,6,50000,0,0,70
654674,Phường Long Hoà,BTY,MyTV,0,3,0,0,0,0,0,0,0,1,0,5,50000,0,0,72
587586,Phường Trà Nóc,BTY,MyTV,0,3,0,0,0,0,0,0,0,4,0,7,50000,0,0,64
587763,Phường Cái Khế,NKU,MyTV,0,2,0,0,0,0,1,0,1,0,0,7,50000,3,0,53
660738,Phường Phú Thứ,CRG,MyTV,0,2,0,0,0,0,1,0,1,2,0,4,50000,1,1,70
589972,Xã Trường Long,PDN,MyTV,0,2,0,0,0,0,0,0,0,1,0,6,50000,0,0,72
589723,Xã Nhơn Nghĩa,PDN,MyTV,0,2,0,0,0,0,0,0,0,0,0,6,57000,0,0,72
